Approved symbol	Mouse genome database ID
ACR	MGI:87884
ACRBP	MGI:1859515
ACRP1	
ACRV1	MGI:104590
ACS3	
ACSBG1	MGI:2385656
ACSBG2	MGI:3587728
ACSF2	MGI:2388287
ACSF3	MGI:2182591
ACSL1	MGI:102797
ACSL3	MGI:1921455
ACSL3-AS1	
ACSL3P1	
ACSL4	MGI:1354713
ACSL5	MGI:1919129
ACSL6	MGI:894291
ACSL6-AS1	
ACSM1	MGI:2152200
ACSM2A	MGI:2385289
ACSM2B	MGI:2385289
ACSM3	MGI:99538
ACSM4	MGI:2681844
ACSM5	MGI:2444086
ACSM5P1	
ACSM6	
ACSS1	MGI:1915988
ACSS2	MGI:1890410
ACSS3	MGI:2685720
ACTA1	MGI:87902
ACTA2	MGI:87909
ACTA2-AS1	
ACTA3	
ACTB	MGI:87904
ACTBL2	MGI:2444552
ACTBP1	
ACTBP2	
ACTBP3	
ACTBP4	
ACTBP5	
ACTBP6	
ACTBP7	
ACTBP8	
ACTBP9	
ACTBP10	
ACTBP11	
ACTBP12	
ACTBP14	
ACTBP15	
ACTBP16	
ACTC1	MGI:87905
ACTE1P	MGI:2685344
ACTG1	MGI:87906
ACTG1P1	
ACTG1P2	
ACTG1P3	
ACTG1P4	
ACTG1P6	
ACTG1P7	
ACTG1P8	
ACTG1P9	
ACTG1P10	
ACTG1P11	
ACTG1P12	
ACTG1P13	
ACTG1P14	
ACTG1P15	
ACTG1P16	
ACTG1P17	
ACTG1P18	
ACTG1P19	
ACTG1P20	
ACTG1P21	
ACTG1P22	
ACTG1P23	
ACTG1P24	
ACTG1P25	
ACTG2	MGI:104589
ACTL2	
ACTL3	
ACTL4	
ACTL5	
ACTL6A	MGI:1861453
ACTL6B	MGI:1933548
ACTL7A	MGI:1343051
ACTL7B	MGI:1343053
ACTL8	
ACTL9	MGI:1916731
ACTL10	MGI:1917612
ACTL11P	MGI:1914972
ACTMAP	MGI:3041247
ACTN1	MGI:2137706
ACTN1-DT	
ACTN2	MGI:109192
ACTN3	MGI:99678
ACTN4	MGI:1890773
ACTN4P1	
ACTN4P2	
ACTP1	
ACTR1A	MGI:1858964
ACTR1AP1	
ACTR1B	MGI:1917446
ACTR2	MGI:1913963
ACTR2P1	
ACTR2P2	
ACTR3	MGI:1921367
ACTR3-AS1	
ACTR3B	MGI:2661120
ACTR3BP1	
ACTR3BP2	
ACTR3BP3	
ACTR3BP4	
ACTR3BP5	
ACTR3BP6	
ACTR3BP7	
ACTR3C	
ACTR3P1	
ACTR3P2	
ACTR3P3	
ACTR5	MGI:1924748
ACTR6	MGI:1914269
ACTR6P1	
ACTR8	MGI:1860775
ACTR10	MGI:1891654
ACTRT1	MGI:1920610
ACTRT1P1	
ACTRT2	MGI:1920603
ACTRT3	MGI:1923902
ACVR1	MGI:87911
ACVR1B	MGI:1338944
ACVR1C	MGI:2661081
ACVR2A	MGI:102806
ACVR2B	MGI:87912
ACVR2B-AS1	
ACVRL1	MGI:1338946
ACVRLK2	
ACY1	MGI:87913
ACY1L	
ACY3	MGI:1918920
ACYP1	MGI:1913454
ACYP2	MGI:1922822
AD1	
AD2	
AD3	
AD4	
AD5	
ADA	MGI:87916
ADA2	
ADAD1	MGI:103258
ADAD1P1	
ADAD1P2	
ADAD2	MGI:1923023
ADAL	MGI:1923144
ADAM1A	MGI:2429504
ADAM1B	MGI:2429506
ADAM2	MGI:1340894
ADAM3A	MGI:102518
ADAM3B	
ADAM5	MGI:104730
ADAM6	MGI:2676316
ADAM7	MGI:107247
ADAM7-AS1	
ADAM7-AS2	
ADAM8	MGI:107825
ADAM9	MGI:105376
ADAM10	MGI:109548
ADAM11	MGI:1098667
ADAM12	MGI:105378
ADAM12-OT1	
ADAM15	MGI:1333882
ADAM17	MGI:1096335
ADAM18	MGI:105986
ADAM19	MGI:105377
ADAM20	
ADAM20P1	
ADAM20P2	
ADAM20P3	
ADAM21	MGI:1861229
ADAM21P1	
ADAM22	MGI:1340046
ADAM23	MGI:1345162
ADAM24P	MGI:105984
ADAM28	MGI:105988
ADAM29	MGI:2676326
ADAM30	MGI:1918328
ADAM32	MGI:2653822
ADAM33	MGI:1341813
ADAMDEC1	MGI:1917650
ADAMTS1	MGI:109249
ADAMTS2	MGI:1347356
ADAMTS3	MGI:3045353
ADAMTS4	MGI:1339949
ADAMTS5	MGI:1346321
ADAMTS6	MGI:1347348
ADAMTS7	MGI:1347346
ADAMTS7P1	
ADAMTS7P2	
ADAMTS7P3	
ADAMTS7P4	
ADAMTS7P5	
ADAMTS8	MGI:1353468
ADAMTS9	MGI:1916320
ADAMTS9-AS1	
ADAMTS9-AS2	MGI:1924659
ADAMTS10	MGI:2449112
ADAMTS12	MGI:2146046
ADAMTS13	MGI:2685556
ADAMTS14	MGI:2179942
ADAMTS15	MGI:2449569
ADAMTS16	MGI:2429637
ADAMTS16-DT	
ADAMTS17	MGI:3588195
ADAMTS18	MGI:2442600
ADAMTS19	MGI:2442875
ADAMTS19-AS1	
ADAMTS20	MGI:2660628
ADAMTS21	
ADAMTSL1	MGI:1924989
ADAMTSL2	MGI:1925044
ADAMTSL3	MGI:3028499
ADAMTSL4	MGI:2389008
ADAMTSL4-AS1	
ADAMTSL4-AS2	
ADAMTSL5	MGI:1913798
ADAP1	MGI:2442201
ADAP2	MGI:2663075
ADAR	MGI:1889575
ADARB1	MGI:891999
ADARB2	MGI:2151118
ADARB2-AS1	
ADAT1	MGI:1353631
ADAT2	MGI:1914007
ADAT3	MGI:1924344
ADCK1	MGI:1919363
ADCK2	MGI:1889336
ADCK5	MGI:2679274
ADCP1	
ADCP2	
ADCR	
ADCY1	MGI:99677
ADCY2	MGI:99676
ADCY3	MGI:99675
ADCY4	MGI:99674
ADCY5	MGI:99673
ADCY6	MGI:87917
ADCY6-DT	
ADCY7	MGI:102891
ADCY8	MGI:1341110
ADCY9	MGI:108450
ADCY10	MGI:2660854
ADCY10P1	
ADCYAP1	MGI:105094
ADCYAP1R1	MGI:108449
ADD1	MGI:87918
ADD2	MGI:87919
ADD3	MGI:1351615
ADD3-AS1	
ADDL	
ADFN	
ADGB	MGI:3605549
ADGB-DT	
ADGRA1	MGI:1277167
ADGRA1-AS1	
ADGRA2	MGI:1925810
ADGRA3	MGI:1917943
ADGRA3P1	
ADGRB1	MGI:1933736
ADGRB2	MGI:2451244
ADGRB3	MGI:2441837
ADGRB3-DT	
ADGRD1	MGI:3041203
ADGRD1-AS1	
ADGRD2	MGI:2685845
ADGRE1	MGI:106912
ADGRE2	
ADGRE3	
ADGRE4P	MGI:1196464
ADGRE5	MGI:1347095
ADGRF1	MGI:1924846
ADGRF2P	MGI:2182728
ADGRF3	MGI:2685887
ADGRF4	MGI:1925499
ADGRF5	MGI:2182928
ADGRF5-AS1	
ADGRF5P1	
ADGRF5P2	
ADGRG1	MGI:1340051
ADGRG2	MGI:2446854
ADGRG3	MGI:1859670
ADGRG4	MGI:2685213
ADGRG5	MGI:2685955
ADGRG6	MGI:1916151
ADGRG7	MGI:2441732
ADGRL1	MGI:1929461
ADGRL1-AS1	
ADGRL2	MGI:2139714
ADGRL3	MGI:2441950
ADGRL3-AS1	
ADGRL4	MGI:2655562
ADGRV1	MGI:1274784
ADH1A	MGI:87921
ADH1B	MGI:87921
ADH1C	MGI:87921
ADH4	MGI:1349472
ADH5	MGI:87929
ADH5P1	
ADH5P2	
ADH5P3	
ADH5P4	
ADH5P5	
ADH6	
ADH7	MGI:87926
ADHFE1	MGI:1923437
ADI1	MGI:2144929
ADI1P1	
ADI1P2	
ADI1P3	
ADIG	MGI:2675492
ADIPINT	
ADIPOQ	MGI:106675
ADIPOQ-AS1	
ADIPOR1	MGI:1919924
ADIPOR1P1	
ADIPOR1P2	
ADIPOR2	MGI:93830
ADIR	
ADIRF	
ADIRF-AS1	
ADISSP	MGI:1914576
ADK	MGI:87930
ADL	
ADM	MGI:108058
ADM-DT	
ADM2	MGI:2675256
ADM5	
ADMLX	
ADMLY	
ADNP	MGI:1338758
ADNP-AS1	
ADNP2	MGI:2448562
ADO	MGI:2685083
ADORA1	MGI:99401
ADORA2A	MGI:99402
ADORA2A-AS1	
ADORA2B	MGI:99403
ADORA2BP1	
ADORA2L1	
ADORA2L2	
ADORA3	MGI:104847
ADPGK	MGI:1919391
ADPGK-AS1	
ADPRH	MGI:1098234
ADPRHL1	MGI:2442168
ADPRM	MGI:1913608
ADPRS	MGI:2140364
ADRA1A	MGI:104773
ADRA1B	MGI:104774
ADRA1C	
ADRA1D	MGI:106673
ADRA2A	MGI:87934
ADRA2B	MGI:87935
ADRA2C	MGI:87936
ADRA2L1	
ADRB1	MGI:87937
ADRB2	MGI:87938
ADRB2RL1	
ADRB3	MGI:87939
ADRM1	MGI:1929289
ADSL	MGI:103202
ADSS1	MGI:87947
ADSS2	MGI:87948
ADT	
ADTAA	
ADTAB	
ADTB1	
ADTB2	
ADTG	
ADTRP	MGI:1924596
AE1	
AE2	
AEBP1	MGI:1197012
AEBP2	MGI:1338038
AEMK	
AEN	MGI:1915298
AEPLC	
AEZ	
AF8T	
AFA	
AFAP1	MGI:1917542
AFAP1-AS1	
AFAP1L1	MGI:2147199
AFAP1L2	MGI:2147658
AFCP	
AFD1	
AFDN	MGI:1314653
AFDN-DT	
AFF1	MGI:1100819
AFF1-AS1	
AFF2	MGI:1202294
AFF2-IT1	
AFF3	MGI:106927
AFF4	MGI:2136171
AFF4-DT	
AFF4P1	
AFG1L	MGI:2148801
AFG2A	MGI:1927170
AFG2B	MGI:3036261
AFG3	
AFG3L1P	MGI:1928277
AFG3L2	MGI:1916847
AFG3L2P1	
AFM	MGI:2429409
AFMID	MGI:2448704
AFP	MGI:87951
AFTPH	MGI:1923012
AFTPH-DT	
AGA	MGI:104873
AGA-DT	
AGAP1	MGI:2653690
AGAP1-IT1	
AGAP2	MGI:3580016
AGAP2-AS1	
AGAP3	MGI:2183446
AGAP4	
AGAP5	
AGAP6	
AGAP7P	
AGAP8	
AGAP9	
AGAP10	
AGAP10P	
AGAP11	
AGAP12P	
AGAP13P	
AGAP14P	
AGBL1	MGI:3646469
AGBL1-AS1	
AGBL2	MGI:2443254
AGBL3	MGI:1923473
AGBL4	MGI:1918244
AGBL4-AS1	
AGBL4-IT1	
AGBL5	MGI:2441745
AGBL5-AS1	
AGBL5-IT1	
AGER	MGI:893592
AGFG1	MGI:1333754
AGFG2	MGI:2443267
AGGF1	MGI:1913799
AGGF1P1	
AGGF1P2	
AGGF1P3	
AGGF1P4	
AGGF1P5	
AGGF1P6	
AGGF1P7	
AGGF1P8	
AGGF1P9	
AGGF1P10	
AGK	MGI:1917173
AGK-DT	
AGKP1	
AGKP2	
AGL	MGI:1924809
AGMAT	MGI:1923236
AGMO	MGI:2442495
AGMX1	
AGMX2	
AGO1	MGI:2446630
AGO2	MGI:2446632
AGO3	MGI:2446634
AGO4	MGI:1924100
AGPAT1	MGI:1932075
AGPAT2	MGI:1914762
AGPAT3	MGI:1336186
AGPAT4	MGI:1915512
AGPAT4-IT1	
AGPAT5	MGI:1196345
AGPAT5P1	
AGPS	MGI:2443065
AGR2	MGI:1344405
AGR3	MGI:2685734
AGRN	MGI:87961
AGRP	MGI:892013
AGS	
AGS1	
AGS2	
AGT	MGI:87963
AGTBP	
AGTIL	
AGTPBP1	MGI:2159437
AGTR1	MGI:87965
AGTR1B	
AGTR2	MGI:87966
AGTRAP	MGI:1339977
AGTRL2	
AGXT	MGI:1329033
AGXT2	MGI:2146052
AHC	
AHCTF1	MGI:1915033
AHCTF1P1	
AHCY	MGI:87968
AHCYL1	MGI:2385184
AHCYL2	MGI:1921590
AHCYP1	
AHCYP2	
AHCYP3	
AHCYP4	
AHCYP5	
AHCYP6	
AHCYP7	
AHCYP8	
AHDC1	MGI:2444218
AHDS	
AHI1	MGI:87971
AHI1-DT	
AHNAK	MGI:1316648
AHNAK2	MGI:2144831
AHR	MGI:105043
AHRR	MGI:1333776
AHSA1	MGI:2387603
AHSA2P	MGI:1916133
AHSG	MGI:107189
AHSP	MGI:2158492
AIC	
AICDA	MGI:1342279
AIDA	MGI:1919737
AIDAP1	
AIDAP2	
AIDAP3	
AIED	
AIF1	MGI:1343098
AIF1L	MGI:1919598
AIFM1	MGI:1349419
AIFM1P1	
AIFM2	MGI:1918611
AIFM3	MGI:1919418
AIG1	MGI:1913503
AIG1P1	
AIH1	
AIH2	
AIH3	
AIM2	MGI:2686159
AIMP1	MGI:102774
AIMP1P1	
AIMP1P2	
AIMP2	MGI:2385237
AIP	MGI:109622
AIPL1	MGI:2148800
AIRE	MGI:1338803
AIRIM	MGI:3041172
AIRN	MGI:1353471
AIS1	
AIS2	
AIS3	
AJAP1	MGI:2685419
AJM1	MGI:2685842
AJUBA	MGI:1341886
AJUBA-DT	
AK1	MGI:87977
AK2	MGI:87978
AK2P1	
AK2P2	
AK3	MGI:1860835
AK3P2	
AK3P3	
AK3P4	
AK3P5	
AK3P6	
AK3P7	
AK4	MGI:87979
AK4P1	
AK4P2	
AK4P3	
AK4P4	
AK4P5	
AK4P6	
AK5	MGI:2677491
AK6	MGI:5510732
AK6	
AK6P1	
AK6P2	
AK7	MGI:1926051
AK8	MGI:1916120
AK9	MGI:2685080
AKAIN1	MGI:2444600
AKAP1	MGI:104729
AKAP1-DT	
AKAP2	MGI:1306795
AKAP3	MGI:1341149
AKAP4	MGI:102794
AKAP5	MGI:2685104
AKAP6	MGI:3050566
AKAP7	MGI:1859150
AKAP8	MGI:1928488
AKAP8L	MGI:1860606
AKAP8P1	
AKAP9	MGI:2178217
AKAP10	MGI:1890218
AKAP11	MGI:2684060
AKAP11-IT1	
AKAP12	MGI:1932576
AKAP13	MGI:2676556
AKAP13-AS1	
AKAP14	MGI:3618288
AKAP17A	
AKAP17BP	MGI:2443758
AKD2	
AKIP1	MGI:3041226
AKIRIN1	MGI:1915300
AKIRIN1P1	
AKIRIN1P2	
AKIRIN2	MGI:1889364
AKIRIN2-AS1	
AKIRIN2P1	
AKNA	MGI:2140340
AKNAD1	MGI:3584453
AKR1A1	MGI:1929955
AKR1B1	MGI:1353494
AKR1B1P1	
AKR1B1P2	
AKR1B1P3	
AKR1B1P4	
AKR1B1P5	
AKR1B1P6	
AKR1B1P7	
AKR1B1P8	
AKR1B10	MGI:101918, MGI:107673, MGI:1915111
AKR1B10P1	
AKR1B10P2	
AKR1B11	
AKR1B15	MGI:101918, MGI:107673, MGI:1915111
AKR1C1	
AKR1C2	
AKR1C3	
AKR1C4	
AKR1C5P	
AKR1C6P	
AKR1C7P	
AKR1C8	
AKR1D1	MGI:2384785
AKR1D1P1	
AKR1E2	MGI:1914758
AKR7A2	MGI:107796
AKR7A2P1	
AKR7A2P2	
AKR7A3	MGI:107796
AKR7L	
AKT1	MGI:87986
AKT1S1	MGI:1914855
AKT2	MGI:104874
AKT3	MGI:1345147
AKT3-IT1	
AKTIP	MGI:3693832
AKTIPP1	
AKTIPP2	
AKTIPP3	
AKU	
ALAD	MGI:96853
ALAS1	MGI:87989
ALAS2	MGI:87990
ALAS3	
ALB	MGI:87991
ALCAM	MGI:1313266
ALD	
ALDH1A1	MGI:1347050, MGI:1353450
ALDH1A2	MGI:107928
ALDH1A2-AS1	
ALDH1A3	MGI:1861722
ALDH1A3-AS1	
ALDH1B1	MGI:1919785
ALDH1L1	MGI:1340024
ALDH1L1-AS1	
ALDH1L1-AS2	
ALDH1L2	MGI:2444680
ALDH2	MGI:99600
ALDH3A1	MGI:1353451
ALDH3A2	MGI:1353452
ALDH3B1	MGI:1914939
ALDH3B2	MGI:1920708, MGI:2147613
ALDH4A1	MGI:2443883
ALDH5A1	MGI:2441982
ALDH6A1	MGI:1915077
ALDH7A1	MGI:108186
ALDH7A1P1	
ALDH7A1P2	
ALDH7A1P3	
ALDH7A1P4	
ALDH8A1	MGI:2653900
ALDH9A1	MGI:1861622
ALDH16A1	MGI:1916998
ALDH18A1	MGI:1888908
ALDL1	
ALDOA	MGI:87994
ALDOAP1	
ALDOAP2	
ALDOB	MGI:87995
ALDOC	MGI:101863
ALDOC-AS1	
ALDR1	
ALDRL2	
ALDRL5	
ALFN1	
ALG1	MGI:2384774
ALG1L1P	
ALG1L2	
ALG1L3P	
ALG1L5P	
ALG1L6P	
ALG1L7P	
ALG1L8P	
ALG1L9P	
ALG1L10P	
ALG1L11P	
ALG1L12P	
ALG1L13P	
ALG1L14P	
ALG1L15P	
ALG2	MGI:1914731
ALG3	MGI:1098592
ALG3P1	
ALG5	MGI:1913498
ALG6	MGI:2444031
ALG8	MGI:2141959
ALG9	MGI:1924753
ALG9-IT1	
ALG10	MGI:2146159
ALG10B	MGI:2146159
ALG11	MGI:2142632
ALG12	MGI:2385025
ALG13	MGI:1914824
ALG13-AS1	
ALG14	MGI:1914039
ALG14-AS1	
ALK	MGI:103305
ALKAL1	MGI:3645495
ALKAL2	MGI:3697448
ALKBH1	MGI:2384034
ALKBH2	MGI:2141032
ALKBH3	MGI:1916363
ALKBH3-AS1	
ALKBH4	MGI:1919291
ALKBH5	MGI:2144489
ALKBH6	MGI:2142037
ALKBH7	MGI:1913650
ALKBH8	MGI:1914917
ALLC	MGI:2136971
ALMS1	MGI:1934606
ALMS1-IT1	
ALMS1P1	
ALOX5	MGI:87999
ALOX5AP	MGI:107505
ALOX12	MGI:87998
ALOX12-AS1	
ALOX12B	MGI:1274782
ALOX12P1	
ALOX12P2	
ALOX15	MGI:87997
ALOX15B	MGI:1098228
ALOX15P1	
ALOX15P2	
ALOXE3	MGI:1345140
ALOXE3P1	
ALPG	MGI:108009, MGI:1924018, MGI:87984
ALPI	MGI:87984, MGI:108009, MGI:1924018
ALPK1	MGI:1918731
ALPK2	MGI:2449492
ALPK3	MGI:2151224
ALPL	MGI:87983
ALPP	
ALPPL1	
ALPPP	
ALS1	
ALS2	MGI:1921268
ALS2CL	MGI:2447532
ALS2CR1	
ALS2CR6	
ALS2CR14	
ALS2CR16	
ALS2CR17	
ALS2CR18	
ALS3	
ALS5	
ALS6	
ALS7	
ALUNC	
ALX1	MGI:104621
ALX3	MGI:1277097
ALX4	MGI:108359
ALYREF	MGI:1341044
AMACR	MGI:1098273
AMANZI	
AMBN	MGI:104655
AMBP	MGI:88002
AMBRA1	MGI:2443564
AMCD1	
AMCD2B	
AMCN	
AMD1	MGI:88004
AMD1P1	
AMD1P2	
AMD1P3	
AMD1P4	
AMD2	
AMDHD1	MGI:1919011
AMDHD2	MGI:2443978
AMDM	
AMELX	MGI:88005
AMELY	
AMER1	MGI:1919595
AMER2	MGI:1919375
AMER3	MGI:3026939
AMFR	MGI:1345634
AMH	MGI:88006
AMHR2	MGI:105062
AMIGO1	MGI:2653612
AMIGO2	MGI:2145995
AMIGO3	MGI:2444854
AMLCR2	
AMMECR1	MGI:1860206
AMMECR1-IT1	
AMMECR1L	MGI:2442711
AMMECR1LP1	
AMN	MGI:1934943
AMN1	MGI:2442933
AMOT	MGI:108440
AMOTL1	MGI:1922973
AMOTL2	MGI:1929286
AMPD1	MGI:88015
AMPD2	MGI:88016
AMPD3	MGI:1096344
AMPH	MGI:103574
AMPHL	
AMT	MGI:3646700
AMTN	MGI:1918671
AMY1A	MGI:104548, MGI:3711220, MGI:3711258, MGI:3714985, MGI:88019, MGI:88020
AMY1B	MGI:104548, MGI:3711220, MGI:3711258, MGI:3714985, MGI:88019, MGI:88020
AMY1C	MGI:104548, MGI:3711220, MGI:3711258, MGI:3714985, MGI:88019, MGI:88020
AMY2A	MGI:104548, MGI:3711220, MGI:3711258, MGI:3714985, MGI:88019, MGI:88020
AMY2B	MGI:104548, MGI:3711220, MGI:3711258, MGI:3714985, MGI:88019, MGI:88020
AMYP1	
AMZ1	MGI:2442258
AMZ2	MGI:104837
AMZ2P1	
AMZ2P2	
AMZ2P3	
AN1	
AN2	
ANAPC1	MGI:103097
ANAPC1P1	
ANAPC1P2	
ANAPC1P3	
ANAPC1P4	
ANAPC1P5	
ANAPC1P6	
ANAPC2	MGI:2139135
ANAPC4	MGI:1098673
ANAPC5	MGI:1929722
ANAPC7	MGI:1929711
ANAPC10	MGI:1916249
ANAPC10P1	
ANAPC11	MGI:1913406
ANAPC13	MGI:1916260
ANAPC13P1	
ANAPC15	MGI:1922680
ANAPC15P1	
ANAPC15P2	
ANAPC16	MGI:1289325
ANCR	
ANE1	
ANG	MGI:88022
ANGEL1	MGI:1915987
ANGEL2	MGI:1196310
ANGPT1	MGI:108448
ANGPT2	MGI:1202890
ANGPT3	
ANGPT4	MGI:1336887
ANGPT5	
ANGPTL1	MGI:1919963
ANGPTL2	MGI:1347002
ANGPTL3	MGI:1353627
ANGPTL4	MGI:1888999
ANGPTL5	
ANGPTL6	MGI:1917976
ANGPTL7	MGI:3605801
ANGPTL8	MGI:3643534
ANHX	
ANIB1	
ANIB2	
ANIB3	
ANIB4	
ANK1	MGI:88024
ANK2	MGI:88025
ANK2-AS1	
ANK3	MGI:88026
ANK3-DT	
ANKAR	MGI:2442559
ANKDD1A	MGI:2686319
ANKDD1B	MGI:2444730
ANKEF1	MGI:2441685
ANKFN1	MGI:2686021
ANKFY1	MGI:1337008
ANKH	MGI:3045421
ANKH-DT	
ANKHD1	MGI:1921733
