Phenotype description	Gene name
sarcomere part_of ventricular myocardium disorganized	tnnt2a
simple columnar epithelium displaced	tnnt2a
simple cuboidal epithelium displaced	tnnt2a
sinoatrial node increased area	tnnt2a
sinoatrial node increased distribution	tnnt2a
smooth muscle tissue development occurs_in bulbus arteriosus decreased process quality	tnnt2a
sprouting angiogenesis occurs_in caudal vein plexus decreased occurrence	tnnt2a
sprouting angiogenesis occurs_in caudal vein plexus increased occurrence	tnnt2a
sprouting angiogenesis process quality	tnnt2a
subintestinal vein morphology	tnnt2a
swimming behavior process quality	tnnt2a
thymus decreased size	tnnt2a
trabecular layer absent	tnnt2a
trabecular layer aplastic	tnnt2a
trabecular layer part_of cardiac ventricle absent	tnnt2a
trunk vasculature decreased amount	tnnt2a
trunk vasculature morphology	tnnt2a
vascular associated smooth muscle cell part_of dorsal aorta absent	tnnt2a
vascular associated smooth muscle cell part_of dorsal aorta decreased amount	tnnt2a
vascular endothelium increased size	tnnt2a
vascular endothelium mislocalised	tnnt2a
vascular smooth muscle part_of bulbus arteriosus decreased amount	tnnt2a
venous blood vessel morphogenesis disrupted	tnnt2a
ventral wall of dorsal aorta has fewer parts of type	tnnt2a
ventricular system decreased size	tnnt2a
whole organism dead	tnnt2a
whole organism decreased amount	tnnt2a
whole organism decreased length	tnnt2a
whole organism decreased life span	tnnt2a
whole organism lethal (sensu genetics)	tnnt2a
whole organism viability	tnnt2a
	ugp2b
	slc16a12b
blood cell accumulation	sh3kbp1
blood circulation absent	sh3kbp1
blood vessel lumenization occurs_in dorsal aorta decreased process quality	sh3kbp1
dorsal aorta decreased diameter	sh3kbp1
	kmt2cb
	nectin1b
	pros1
	map2k1
	cox10
GDP-mannose part_of whole organism decreased amount	gmppb
axon part_of CaP motoneuron decreased length	gmppb
eye decreased size	gmppb
multicellular organismal locomotion decreased process quality	gmppb
myoseptum damaged	gmppb
myoseptum increased width	gmppb
nervous system decreased amount	gmppb
post-vent region bent	gmppb
protein glycosylation decreased occurrence	gmppb
protein glycosylation decreased process quality	gmppb
sarcolemma part_of muscle damaged	gmppb
skeletal muscle cell disorganized	gmppb
skeletal muscle cell sparse	gmppb
whole organism decreased amount	gmppb
whole organism decreased length	gmppb
whole organism decreased mobility	gmppb
whole organism decreased pigmentation	gmppb
	cnga3b
	ufm1
	zgc:110366
	ddhd2
	trpc6a
pronephric capsular space increased width	tmem63c
pronephric glomerular capillary dilated	tmem63c
pronephric glomerulus increased volume	tmem63c
	gfm2
	kcnt1
	asah1a
	tbc1d24
Meckel's cartilage increased distance	clcn7
ameloblast absent	clcn7
ameloblast decreased amount	clcn7
basihyal cartilage oblique orientation	clcn7
ceratobranchial 5 bone lacks parts or has fewer parts of type	clcn7
ceratobranchial 5 tooth composition	clcn7
ceratobranchial 5 tooth porous	clcn7
ceratobranchial 5 tooth rough	clcn7
ceratohyal cartilage angle	clcn7
ceratohyal cartilage decreased distance	clcn7
ceratohyal cartilage decreased length	clcn7
ceratohyal cartilage increased variability of size	clcn7
cranial cartilage morphology	clcn7
dental epithelium absent	clcn7
dental mesenchyme absent	clcn7
head decreased size	clcn7
head decreased width	clcn7
head has extra parts of type GO:0005764	clcn7
head has extra parts of type GO:0005770	clcn7
head increased variability of size	clcn7
lysosomal protein catabolic process occurs_in renal tubule decreased occurrence	clcn7
odontoblast decreased amount	clcn7
opercle absent	clcn7
palatoquadrate cartilage decreased length	clcn7
palatoquadrate cartilage increased variability of size	clcn7
parasphenoid absent	clcn7
pharyngeal arch 3-7 skeleton lacks parts or has fewer parts of type	clcn7
tooth mineralization occurs_in ceratobranchial 5 tooth decreased efficacy	clcn7
vesicle part_of renal tubule increased size	clcn7
whole organism absent	clcn7
whole organism decreased amount	clcn7
whole organism decreased length	clcn7
whole organism increased amount	clcn7
	fgfr1bl
	zgc:171517
	mtap
	slc38a3a
axoneme part_of retinal photoreceptor layer absent	kif3b
brain hydrocephalic	kif3b
cerebrospinal fluid circulation occurs_in central canal decreased occurrence	kif3b
cilium part_of anterior macula absent	kif3b
cilium part_of inner ear morphology	kif3b
cilium part_of lateral crista decreased variability of size	kif3b
cilium part_of macula absent	kif3b
cilium part_of neuromast absent	kif3b
cilium part_of olfactory epithelium decreased amount	kif3b
cilium part_of olfactory epithelium decreased length	kif3b
cilium part_of posterior lateral line neuromast absent	kif3b
cilium part_of posterior lateral line neuromast decreased amount	kif3b
cilium part_of posterior lateral line neuromast decreased length	kif3b
cilium part_of pronephric duct absent	kif3b
epithelial cilium movement involved in extracellular fluid movement occurs_in ependymal cell decreased occurrence	kif3b
eye decreased size	kif3b
hepaticobiliary system process disrupted	kif3b
intrahepatic bile duct decreased functionality	kif3b
motile cilium part_of ependymal cell inactive	kif3b
optic stalk morphology	kif3b
pericardium edematous	kif3b
photoreceptor cell differentiation disrupted	kif3b
photoreceptor cell outer segment organization delayed	kif3b
photoreceptor connecting cilium part_of photoreceptor cell decreased amount	kif3b
photoreceptor connecting cilium part_of photoreceptor outer segment layer decreased length	kif3b
photoreceptor outer segment layer absent	kif3b
photoreceptor outer segment layer aplastic	kif3b
photoreceptor outer segment part_of retinal rod cell decreased amount	kif3b
post-vent region curved ventral	kif3b
retina development in camera-type eye delayed	kif3b
retina layer formation disrupted	kif3b
retinal cone cell degenerate	kif3b
retinal neural layer morphology	kif3b
retinal rod cell decreased amount	kif3b
retinal rod cell degenerate	kif3b
whole organism curved	kif3b
whole organism curved ventral	kif3b
whole organism decreased amount	kif3b
whole organism lethal (sensu genetics)	kif3b
	wdfy3
	rad21b
	ifitm5
	si:dkey-84o3.3
	mark3b
axon guidance occurs_in peripheral neuron process quality	med25
axon part_of peripheral neuron branchiness	med25
axon part_of peripheral neuron morphology	med25
axon part_of peripheral neuron shape	med25
palate malformed	med25
	cdh31
	terb2
	hnrnpub
	exosc1
	psmb8a
actin filament polymerization increased occurrence	ptenb
blood decreased fluid flow	ptenb
caudal fin falciform	ptenb
cell projection part_of hypoblast direction	ptenb
cell projection part_of hypoblast physical object quality	ptenb
convergent extension involved in gastrulation disrupted	ptenb
dorsal convergence disrupted	ptenb
epiboly involved in gastrulation with mouth forming second delayed	ptenb
extension decreased length	ptenb
eye neoplastic	ptenb
gastrulation disrupted	ptenb
head domed	ptenb
intersegmental vessel malformed	ptenb
lipid phosphatase activity disrupted	ptenb
macrophage decreased amount	ptenb
myeloid lineage restricted progenitor cell mislocalised	ptenb
notochord undulate	ptenb
phosphatidylinositol dephosphorylation decreased occurrence	ptenb
post-vent region curved dorsal	ptenb
post-vent region decreased length	ptenb
somite increased width	ptenb
whole organism decreased length	ptenb
	cyp2u1
Meckel's cartilage alignment	lmna
blood circulation disrupted	lmna
brain apoptotic	lmna
cardiac conduction occurs_in atrioventricular canal decreased process quality	lmna
cardiac conduction occurs_in cardiac ventricle decreased process quality	lmna
cardiac ventricle decreased functionality	lmna
cellular senescence increased occurrence	lmna
ceratohyal cartilage mislocalised posteriorly	lmna
fat cell differentiation decreased occurrence	lmna
fat cell decreased amount	lmna
heart contraction decreased rate	lmna
heart decreased contractility	lmna
heart decreased functionality	lmna
integument rough	lmna
mitotic M phase duration	lmna
mitotic S phase duration	lmna
nucleus part_of cardiac muscle cell morphology	lmna
pericardium edematous	lmna
pharyngeal arch cartilage physical object quality	lmna
regulation of heart rate disrupted	lmna
sinus venosus increased accumulation	lmna
slow muscle cell part_of myotome decreased amount	lmna
slow muscle cell part_of myotome undulate	lmna
slow muscle cell part_of somite damaged	lmna
swimming behavior process quality	lmna
trunk apoptotic	lmna
whole organism decreased amount	lmna
whole organism increased amount	lmna
	morc2
axon part_of motor neuron decreased length	rbm8a
head necrotic	rbm8a
heart edematous	rbm8a
muscle cell disorganized	rbm8a
muscle contraction decreased occurrence	rbm8a
myotome U-shaped	rbm8a
neuromuscular junction part_of whole organism decreased amount	rbm8a
trunk curved ventral	rbm8a
whole organism dead	rbm8a
whole organism decreased amount	rbm8a
whole organism increased amount	rbm8a
whole organism necrotic	rbm8a
whole organism paralysed	rbm8a
	si:ch1073-459j12.1
	ctss1
	tgm5l
	gabbr2
	gfm1
caudal vein plexus malformed	nr2f2
caudal vein absent	nr2f2
caudal vein malformed	nr2f2
dorsal aorta fused with	nr2f2
head decreased amount	nr2f2
intersegmental vessel branchiness	nr2f2
pericardium edematous	nr2f2
post-vent vasculature structure	nr2f2
thoracic duct immature	nr2f2
thoracic duct morphology	nr2f2
trunk vasculature non-functional	nr2f2
venous blood vessel development occurs_in posterior cardinal vein process quality	nr2f2
cell projection part_of podocyte disorganized	coq8b
glomerular basement membrane disorganized	coq8b
orbit edematous	coq8b
podocyte development disrupted	coq8b
whole organism edematous	coq8b
apical ectodermal ridge pectoral fin bud absent	tp63
apoptotic process occurs_in pectoral fin increased occurrence	tp63
breeding tubercle part_of jaw flap decreased size	tp63
cell part_of periderm decreased amount	tp63
epidermal cell decreased amount	tp63
esophageal epithelium decreased amount	tp63
esophageal epithelium decreased thickness	tp63
integument physical object quality	tp63
jaw row breeding tubercle decreased amount	tp63
jaw row breeding tubercle decreased size	tp63
otic vesicle decreased amount	tp63
otic vesicle decreased size	tp63
pectoral fin bud absent	tp63
pectoral fin fold decreased size	tp63
pectoral fin absent	tp63
pectoral fin decreased amount	tp63
pectoral fin morphology	tp63
peridermal cell increased size	tp63
pigment cell organization quality	tp63
squamous epithelial cell part_of esophagus decreased amount	tp63
stratified squamous epithelial cell part_of esophagus morphology	tp63
whole organism absent	tp63
	cdh29
	hfm1
	rpl21
	si:ch73-334d15.4
cranial neural crest mislocalised dorsally	zic2a
diencephalon development disrupted	zic2a
embryonic neurocranium morphogenesis decreased process quality	zic2a
embryonic viscerocranium morphogenesis decreased process quality	zic2a
forebrain development decreased process quality	zic2a
fourth ventricle malformed	zic2a
head has fewer parts of type	zic2a
hindbrain malformed	zic2a
hypothalamus cellular quality	zic2a
medial region part_of ethmoid cartilage absent	zic2a
midbrain malformed	zic2a
negative regulation of DNA-templated transcription disrupted	zic2a
neural crest cell migration decreased process quality	zic2a
neural tube malformed	zic2a
neurocranial trabecula shortened	zic2a
neurogenesis disrupted	zic2a
optic fissure closure incomplete	zic2a
optic fissure malformed	zic2a
pharyngeal arch 1 decreased size	zic2a
pharyngeal arch 2 decreased size	zic2a
pharyngeal arch 2 malformed	zic2a
pharyngeal arch cartilage hypoplastic	zic2a
pharyngeal arch cellular quality	zic2a
regulation of smoothened signaling pathway disrupted	zic2a
retinal neural layer decreased size	zic2a
stomodeum decreased size	zic2a
tectal ventricle malformed	zic2a
trunk has fewer parts of type	zic2a
ventral mandibular arch malformed	zic2a
ventral thalamus cellular quality	zic2a
ventral thalamus decreased size	zic2a
xanthophore differentiation decreased process quality	zic2a
Kupffer's vesicle development decreased process quality	lamb1a
anterior commissure has fewer parts of type	lamb1a
anterior/posterior axon guidance process quality	lamb1a
apoptotic process occurs_in eye increased occurrence	lamb1a
apoptotic process occurs_in whole organism increased occurrence	lamb1a
astrocyte part_of anterior commissure mislocalised	lamb1a
astrocyte part_of postoptic commissure mislocalised	lamb1a
axon guidance process quality	lamb1a
axon part_of brainstem and spinal white matter decreased amount	lamb1a
axon part_of retinal ganglion cell ipsilateral to	lamb1a
axon part_of retinal ganglion cell misrouted	lamb1a
basement membrane assembly decreased process quality	lamb1a
basement membrane part_of notochord disorganized	lamb1a
brain disorganized	lamb1a
brain morphology	lamb1a
brain necrotic	lamb1a
brain shape	lamb1a
brain surface feature shape	lamb1a
cell projection part_of radial glial cell disorganized	lamb1a
cell part_of notochord structure	lamb1a
cilium assembly decreased process quality	lamb1a
closure of optic fissure decreased process quality	lamb1a
commissural neuron axon guidance occurs_in forebrain disrupted	lamb1a
commissural neuron axon guidance occurs_in postoptic commissure disrupted	lamb1a
cranial nerve II decreased size	lamb1a
cranial nerve II decreased thickness	lamb1a
cranial nerve II defasciculated	lamb1a
cranial nerve II morphology	lamb1a
detection of light stimulus involved in visual perception arrested	lamb1a
determination of digestive tract left/right asymmetry decreased process quality	lamb1a
determination of left/right asymmetry in lateral mesoderm decreased process quality	lamb1a
determination of left/right asymmetry in lateral mesoderm disrupted	lamb1a
determination of liver left/right asymmetry decreased process quality	lamb1a
determination of pancreatic left/right asymmetry decreased process quality	lamb1a
digestive tract development disrupted	lamb1a
endocrine cell part_of pancreas mislocalised	lamb1a
endoderm increased width	lamb1a
epithelial cilium movement involved in determination of left/right asymmetry decreased process quality	lamb1a
eye decreased size	lamb1a
eye mislocalised ventrally	lamb1a
eye morphology	lamb1a
eye quality	lamb1a
eye shape	lamb1a
fast muscle myoblast decreased length	lamb1a
forebrain midbrain boundary increased width	lamb1a
forebrain ventricle decreased size	lamb1a
fourth ventricle decreased size	lamb1a
fourth ventricle increased size	lamb1a
head cuboid	lamb1a
head decreased size	lamb1a
hindbrain morphology	lamb1a
hindbrain quality	lamb1a
hypochord morphology	lamb1a
intersegmental vessel aplastic	lamb1a
intestinal bulb primordium bilateral symmetry	lamb1a
laminin complex part_of lateral plate mesoderm decreased amount	lamb1a
laminin complex part_of neural tube decreased amount	lamb1a
laminin complex part_of somite decreased amount	lamb1a
lateral mesoderm morphogenesis decreased process quality	lamb1a
lateral plate mesoderm bilateral symmetry	lamb1a
lateral plate mesoderm disorganized	lamb1a
lateral plate mesoderm mislocalised	lamb1a
lens aplastic	lamb1a
lens decreased size	lamb1a
lens degenerate	lamb1a
lens disorganized	lamb1a
lens displaced	lamb1a
lens hypoplastic	lamb1a
lens malformed	lamb1a
lens mislocalised	lamb1a
lens perforate	lamb1a
lens protruding	lamb1a
lens structure	lamb1a
liver primordium bilateral symmetry	lamb1a
liver bilateral symmetry	lamb1a
mesodermal cell migration disrupted	lamb1a
midbrain hindbrain boundary morphology	lamb1a
midbrain hindbrain boundary shape	lamb1a
midbrain-hindbrain boundary morphogenesis disrupted	lamb1a
motile cilium part_of Kupffer's vesicle decreased functionality	lamb1a
motile cilium part_of Kupffer's vesicle decreased length	lamb1a
muscle cell migration disrupted	lamb1a
muscle tendon junction part_of fast muscle cell increased amount	lamb1a
muscle tendon junction part_of myotome morphology	lamb1a
muscle tissue development disrupted	lamb1a
myosin filament part_of fast muscle cell disorganized	lamb1a
myosin filament part_of slow muscle cell disorganized	lamb1a
myotome U-shaped	lamb1a
myotome decreased thickness	lamb1a
myotome shape	lamb1a
nervous system quality	lamb1a
notochord cell development decreased process quality	lamb1a
notochord development quality	lamb1a
notochord formation disrupted	lamb1a
notochord morphogenesis disrupted	lamb1a
notochord apoptotic	lamb1a
notochord cellular quality	lamb1a
notochord decreased thickness	lamb1a
notochord hypotrophic	lamb1a
notochord moderately well differentiated	lamb1a
notochord morphology	lamb1a
notochord poorly differentiated	lamb1a
notochord quality	lamb1a
notochord structure	lamb1a
notochord undifferentiated	lamb1a
notochord undulate	lamb1a
optic fissure closure incomplete	lamb1a
optic fissure increased width	lamb1a
optokinetic behavior decreased rate	lamb1a
pancreas primordium bilateral symmetry	lamb1a
pancreas bilateral symmetry	lamb1a
pericardium edematous	lamb1a
post-vent region shortened	lamb1a
postoptic commissure decreased size	lamb1a
postoptic commissure defasciculated	lamb1a
postoptic commissure has fewer parts of type	lamb1a
protein localization disrupted	lamb1a
retina layer formation disrupted	lamb1a
retina decreased size	lamb1a
retina quality	lamb1a
retinal ganglion cell layer dispersed	lamb1a
retinal photoreceptor layer decreased thickness	lamb1a
sensory system quality	lamb1a
skeletal muscle fiber development disrupted	lamb1a
somite condensed	lamb1a
somite flattened	lamb1a
somite malformed	lamb1a
somite morphology	lamb1a
somite quality	lamb1a
swim bladder inflation arrested	lamb1a
tectal ventricle decreased size	lamb1a
trunk curved dorsal	lamb1a
trunk decreased length	lamb1a
vacuole part_of notochord decreased amount	lamb1a
vacuole part_of notochord decreased size	lamb1a
whole organism bent	lamb1a
whole organism curved dorsal	lamb1a
whole organism decreased length	lamb1a
whole organism decreased life span	lamb1a
whole organism lethal (sensu genetics)	lamb1a
whole organism viability	lamb1a
	aqp8b
anterior lateral plate mesoderm decreased amount	itpr1b
atrioventricular canal development disrupted	itpr1b
atrioventricular ring morphology	itpr1b
axis bent	itpr1b
bone mineralization occurs_in Meckel's cartilage decreased process quality	itpr1b
bone mineralization occurs_in ectopterygoid decreased process quality	itpr1b
bone mineralization occurs_in ethmoid cartilage decreased process quality	itpr1b
bone mineralization occurs_in palatoquadrate cartilage decreased process quality	itpr1b
brain edematous	itpr1b
cranial cartilage decreased mass	itpr1b
determination of heart left/right asymmetry disrupted	itpr1b
heart looping disrupted	itpr1b
heart inverted	itpr1b
palatoquadrate arch decreased size	itpr1b
ventral mandibular arch decreased size	itpr1b
whole organism decreased amount	itpr1b
	gnrhr4
anatomical system quality	cacna1c
atrial myocardium contractility	cacna1c
blood circulation arrested	cacna1c
brain decreased size	cacna1c
