Gene name	Phenotype description
ACTL6B	INTELLECTUAL DEVELOPMENTAL DISORDER WITH SEVERE SPEECH AND AMBULATION DEFECTS
ACTL9	Non-syndromic male infertility due to sperm motility disorder
ACTL9	SPERMATOGENIC FAILURE 53
ACTN1	Autosomal dominant macrothrombocytopenia
ACTN1	BLEEDING DISORDER PLATELET-TYPE 15
ACTN2	Familial isolated dilated cardiomyopathy
ACTN2	NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy
ACTN2	CARDIOMYOPATHY DILATED 1AA WITH OR WITHOUT LEFT VENTRICULAR NONCOMPACTION
ACTN2	CONGENITAL MYOPATHY 8
ACTN2	MYOPATHY DISTAL 6 ADULT-ONSET AUTOSOMAL DOMINANT
ACTN4	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 1
ACTN4	Genetic steroid-resistant nephrotic syndrome
ACTN4	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 1
ACVR1	FIBRODYSPLASIA OSSIFICANS PROGRESSIVA
ACVR1	FIBRODYSPLASIA OSSIFICANS PROGRESSIVA
ACVR1	FIBRODYSPLASIA OSSIFICANS PROGRESSIVA
ACVR1	B-cell acute lymphoblastic leukemia
ACVR1	Brain Stem Glioblastoma
ACVR1	Breast Carcinoma by Gene Expression Profile
ACVR1	Burkitts lymphoma
ACVR1	Digestive System Carcinoma
ACVR1	Endometrial Endometrioid Adenocarcinoma
ACVR1	Hepatobiliary Neoplasm
ACVR1	Merkel cell skin cancer
ACVR1	ND
ACVR1	Ovarian Endometrioid Adenocarcinoma with Squamous Differentiation
ACVR1	Sarcomatoid Mesothelioma
ACVR1	T-cell acute lymphoblastic leukemia
ACVR1	Uterine Carcinosarcoma
ACVR1	Acute lymphoblastic leukemia
ACVR1	Acute myeloid leukemia
ACVR1	Anaplastic astrocytoma
ACVR1	Astrocytoma
ACVR1	bile duct carcinoma
ACVR1	bladder transitional cell carcinoma
ACVR1	brain glioblastoma
ACVR1	Breast carcinoma
ACVR1	breast ductal adenocarcinoma
ACVR1	cecum adenocarcinoma
ACVR1	cervical squamous cell carcinoma
ACVR1	Chronic lymphocytic leukemia
ACVR1	Chronic myelogenous leukemia
ACVR1	Clear cell renal carcinoma
ACVR1	colon adenocarcinoma
ACVR1	colorectal adenocarcinoma
ACVR1	diffuse large B-cell lymphoma
ACVR1	endodermal sinus tumor
ACVR1	Ependymoma
ACVR1	gastric adenocarcinoma
ACVR1	head and neck squamous cell carcinoma
ACVR1	Hepatocellular Carcinoma
ACVR1	kidney neoplasm
ACVR1	leiomyosarcoma
ACVR1	lobular breast carcinoma
ACVR1	Lung adenocarcinoma
ACVR1	Lung carcinoma
ACVR1	lymphoid neoplasm
ACVR1	Melanoma
ACVR1	non-small cell lung carcinoma
ACVR1	OSTEOSARCOMA
ACVR1	pancreatic carcinoma
ACVR1	pancreatic ductal adenocarcinoma
ACVR1	pancreatic neuroendocrine tumor
ACVR1	prostate adenocarcinoma
ACVR1	prostate carcinoma
ACVR1	rectal adenocarcinoma
ACVR1	salivary gland squamous cell carcinoma
ACVR1	skin carcinoma
ACVR1	Small cell lung carcinoma
ACVR1	squamous cell lung carcinoma
ACVR1	thyroid carcinoma
ACVR1	urothelial carcinoma
ADAM22	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 61
ADAM22	ADAM22-associated developmental and epileptic encephalopathy
ADAMTSL2	Dermatosparaxis Ehlers-Danlos syndrome
ADAMTSL2	Geleophysic dysplasia
ADAMTSL2	GELEOPHYSIC DYSPLASIA 1
ADAMTSL2	GELEOPHYSIC DYSPLASIA 1
ADAMTSL4	ISOLATED ECTOPIA LENTIS
ADAMTSL4	ECTOPIA LENTIS 2 ISOLATED AUTOSOMAL RECESSIVE
ADAMTSL4	ECTOPIA LENTIS ET PUPILLAE
ADAMTSL4	Ectopia lentis isolated autosomal recessive
ADD3	Inherited congenital spastic tetraplegia
ADD3	Cerebral palsy spastic quadriplegic 3
ADGRG1	Bilateral frontoparietal polymicrogyria
ADGRG1	Bilateral perisylvian polymicrogyria
ADGRG1	Polymicrogyria
ADH5	AMED SYNDROME DIGENIC
AEBP1	Classical-like Ehlers-Danlos syndrome type 2
AEBP1	EHLERS-DANLOS SYNDROME CLASSIC-LIKE 2
AFF3	Mesomelic dysplasia-digital anomalies-intellectual disability syndrome
AFF3	KINSSHIP SYNDROME
AFF3	Skeletal dysplasia with severe neurological disease
AFF3	B-cell acute lymphoblastic leukemia
AFF3	Brain Stem Glioblastoma
AFF3	Breast Carcinoma by Gene Expression Profile
AFF3	Burkitts lymphoma
AFF3	Endometrial Endometrioid Adenocarcinoma
AFF3	Gallbladder Small Cell Neuroendocrine Carcinoma
AFF3	Hepatobiliary Neoplasm
AFF3	Hodgkins lymphoma
AFF3	Invasive Breast Carcinoma
AFF3	MANTLE CELL LYMPHOMA
AFF3	Merkel cell skin cancer
AFF3	ND
AFF3	Ovarian Endometrioid Adenocarcinoma
AFF3	Ovarian Endometrioid Adenocarcinoma with Squamous Differentiation
AFF3	Pancreatic Acinar Cell Carcinoma
AFF3	Signet Ring Cell Gastric Adenocarcinoma
AFF3	Small Intestinal Diffuse Large B-Cell Lymphoma
AFF3	T-cell acute lymphoblastic leukemia
AFF3	Uterine Carcinosarcoma
AFF3	Acute myeloid leukemia
AFF3	Anaplastic astrocytoma
AFF3	bile duct carcinoma
AFF3	bladder transitional cell carcinoma
AFF3	brain glioblastoma
AFF3	Breast carcinoma
AFF3	breast ductal adenocarcinoma
AFF3	cecum adenocarcinoma
AFF3	cervical squamous cell carcinoma
AFF3	Chronic lymphocytic leukemia
AFF3	Clear cell renal carcinoma
AFF3	colon adenocarcinoma
AFF3	colonic neoplasm
AFF3	colorectal adenocarcinoma
AFF3	diffuse gastric adenocarcinoma
AFF3	diffuse large B-cell lymphoma
AFF3	Ependymoma
AFF3	gastric adenocarcinoma
AFF3	head and neck squamous cell carcinoma
AFF3	Hepatocellular Carcinoma
AFF3	kidney neoplasm
AFF3	lobular breast carcinoma
AFF3	Lung adenocarcinoma
AFF3	Lung carcinoma
AFF3	lymphoid neoplasm
AFF3	Medulloblastoma
AFF3	Melanoma
AFF3	Neoplasm
AFF3	non-small cell lung carcinoma
AFF3	oral squamous cell carcinoma
AFF3	ovarian clear cell adenocarcinoma
AFF3	ovarian mucinous adenocarcinoma
AFF3	pancreatic carcinoma
AFF3	pancreatic ductal adenocarcinoma
AFF3	pancreatic neoplasm
AFF3	pancreatic neuroendocrine tumor
AFF3	prostate adenocarcinoma
AFF3	prostate carcinoma
AFF3	rectal adenocarcinoma
AFF3	skin carcinoma
AFF3	Small cell lung carcinoma
AFF3	soft tissue sarcoma
AFF3	squamous cell lung carcinoma
AFF3	thyroid carcinoma
AFF3	thyroid neoplasm
AFG3L2	Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome
AFG3L2	Spinocerebellar ataxia type 28
AFG3L2	OPTIC ATROPHY 12
AFG3L2	SPASTIC ATAXIA 5 AUTOSOMAL RECESSIVE
AFG3L2	SPINOCEREBELLAR ATAXIA 28
AFG3L2	AFG3L2-related ataxia and seizures
AGBL5	Retinitis pigmentosa
AGBL5	RETINITIS PIGMENTOSA 75
AGBL5	Retinitis pigmentosa
AGK	CATARACT 38
AGK	Sengers syndrome
AGK	Sengers syndrome
AGK	Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome
AGK	Total early-onset cataract
AGK	CATARACT 38
AGK	Sengers syndrome
AGK	Sengers syndrome
AGL	Glycogen storage disease due to glycogen debranching enzyme deficiency
AGL	GLYCOGEN STORAGE DISEASE III
AGL	Glycogen Storage Disease Type III
AGRN	Postsynaptic congenital myasthenic syndromes
AGRN	Presynaptic congenital myasthenic syndromes
AGRN	MYASTHENIC SYNDROME CONGENITAL 8
AHSG	Alopecia-intellectual disability syndrome
AHSG	Alopecia-intellectual disability syndrome 1
AICDA	Hyper-IgM syndrome type 2
AICDA	IMMUNODEFICIENCY WITH HYPER-IgM TYPE 2
AIMP1	Autosomal recessive non-syndromic intellectual disability
AIMP1	Pelizaeus-Merzbacher-like disease due to AIMP1 mutation
AIMP1	LEUKODYSTROPHY HYPOMYELINATING 3
AIMP2	LEUKODYSTROPHY HYPOMYELINATING 17
AIPL1	Cone rod dystrophy
AIPL1	Leber congenital amaurosis
AIPL1	LEBER CONGENITAL AMAUROSIS 4
AIPL1	Retinitis pigmentosa
AIPL1	LEBER CONGENITAL AMAUROSIS 4
AKAP9	Brugada syndrome
AKAP9	Romano-Ward syndrome
AKAP9	LONG QT SYNDROME 11
AKAP9	B-cell acute lymphoblastic leukemia
AKAP9	Bladder Small Cell Neuroendocrine Carcinoma
AKAP9	Breast Carcinoma by Gene Expression Profile
AKAP9	Endometrial Endometrioid Adenocarcinoma
AKAP9	Gallbladder Small Cell Neuroendocrine Carcinoma
AKAP9	Hepatobiliary Neoplasm
AKAP9	Hodgkins lymphoma
AKAP9	Invasive Breast Carcinoma
AKAP9	Merkel cell skin cancer
AKAP9	ND
AKAP9	Ovarian Endometrioid Adenocarcinoma
AKAP9	Ovarian Endometrioid Adenocarcinoma with Squamous Differentiation
AKAP9	Parathyroid Gland Carcinoma
AKAP9	Placental Choriocarcinoma
AKAP9	Pleural Epithelioid Mesothelioma
AKAP9	Primary Pulmonary Diffuse Large B-Cell Lymphoma
AKAP9	Small Intestinal Diffuse Large B-Cell Lymphoma
AKAP9	T-cell acute lymphoblastic leukemia
AKAP9	Thyroid Gland Oncocytic Follicular Carcinoma
AKAP9	Uterine Carcinosarcoma
AKAP9	Acute myeloid leukemia
AKAP9	adenosquamous lung carcinoma
AKAP9	Astrocytoma
AKAP9	bile duct carcinoma
AKAP9	bladder transitional cell carcinoma
AKAP9	brain glioblastoma
AKAP9	Breast carcinoma
AKAP9	breast ductal adenocarcinoma
AKAP9	cecum adenocarcinoma
AKAP9	cervical squamous cell carcinoma
AKAP9	Chronic lymphocytic leukemia
AKAP9	Clear cell renal carcinoma
AKAP9	colon adenocarcinoma
AKAP9	colon carcinoma
AKAP9	colorectal adenocarcinoma
AKAP9	diffuse gastric adenocarcinoma
AKAP9	diffuse large B-cell lymphoma
AKAP9	gastric adenocarcinoma
AKAP9	head and neck squamous cell carcinoma
AKAP9	Hepatocellular Carcinoma
AKAP9	kidney neoplasm
AKAP9	large cell lung carcinoma
AKAP9	lobular breast carcinoma
AKAP9	Lung adenocarcinoma
AKAP9	Lung carcinoma
AKAP9	lymphoid neoplasm
AKAP9	Melanoma
AKAP9	Multiple myeloma
AKAP9	Neoplasm
AKAP9	non-small cell lung carcinoma
AKAP9	oral squamous cell carcinoma
AKAP9	ovarian clear cell adenocarcinoma
AKAP9	Ovarian neoplasm
AKAP9	pancreatic carcinoma
AKAP9	pancreatic ductal adenocarcinoma
AKAP9	pancreatic neuroendocrine tumor
AKAP9	plasmacytoma
AKAP9	POLYCYTHEMIA VERA
AKAP9	prostate adenocarcinoma
AKAP9	prostate carcinoma
AKAP9	pseudomyxoma peritonei
AKAP9	rectal adenocarcinoma
AKAP9	skin carcinoma
AKAP9	Small cell lung carcinoma
AKAP9	soft tissue sarcoma
AKAP9	squamous cell lung carcinoma
AKAP9	thyroid carcinoma
AKR1C2	46XY difference of sex development due to testicular 1720-desmolase deficiency
AKR1C2	46XY SEX REVERSAL 8
AKT2	AKT2-related familial partial lipodystrophy
AKT2	Hypoinsulinemic hypoglycemia and body hemihypertrophy
AKT2	HYPOINSULINEMIC HYPOGLYCEMIA WITH HEMIHYPERTROPHY
AKT2	TYPE 2 DIABETES MELLITUS
AKT2	AKT2-related hypoinsulinemic hypoglycemia and hemihypertrophy
AKT2	Bladder Small Cell Neuroendocrine Carcinoma
AKT2	Brain Stem Glioblastoma
AKT2	Breast Carcinoma by Gene Expression Profile
AKT2	Burkitts lymphoma
AKT2	Choroid plexus papilloma
AKT2	Endometrial Endometrioid Adenocarcinoma
AKT2	Gallbladder Small Cell Neuroendocrine Carcinoma
AKT2	Hepatobiliary Neoplasm
AKT2	Invasive Breast Carcinoma
AKT2	Merkel cell skin cancer
AKT2	ND
AKT2	Ovarian Endometrioid Adenocarcinoma
AKT2	Ovarian Endometrioid Adenocarcinoma with Squamous Differentiation
AKT2	Pancreatic Acinar Cell Carcinoma
AKT2	Placental Choriocarcinoma
AKT2	Pleural Epithelioid Mesothelioma
AKT2	T-cell acute lymphoblastic leukemia
AKT2	Uterine Carcinosarcoma
AKT2	Acute myeloid leukemia
AKT2	bile duct carcinoma
AKT2	bladder transitional cell carcinoma
AKT2	brain glioblastoma
AKT2	Breast carcinoma
AKT2	breast ductal adenocarcinoma
AKT2	cecum adenocarcinoma
AKT2	cervical squamous cell carcinoma
AKT2	Clear cell renal carcinoma
AKT2	colon adenocarcinoma
AKT2	colorectal adenocarcinoma
AKT2	diffuse large B-cell lymphoma
AKT2	gastric adenocarcinoma
AKT2	head and neck squamous cell carcinoma
AKT2	Hepatocellular Carcinoma
AKT2	kidney neoplasm
AKT2	lobular breast carcinoma
AKT2	Lung adenocarcinoma
AKT2	Lung carcinoma
AKT2	lymphoid neoplasm
AKT2	Melanoma
AKT2	non-small cell lung carcinoma
AKT2	oral squamous cell carcinoma
AKT2	OSTEOSARCOMA
AKT2	ovarian mucinous adenocarcinoma
AKT2	pancreatic carcinoma
AKT2	pancreatic ductal adenocarcinoma
AKT2	pancreatic neuroendocrine tumor
AKT2	prostate adenocarcinoma
AKT2	prostate carcinoma
AKT2	rectal adenocarcinoma
AKT2	salivary gland squamous cell carcinoma
AKT2	skin carcinoma
AKT2	Small cell lung carcinoma
AKT2	soft tissue sarcoma
AKT2	squamous cell lung carcinoma
AKT2	thyroid carcinoma
AKT2	thyroid neoplasm
AKT2	undifferentiated pleomorphic sarcoma
AKT2	urothelial carcinoma
ALDH18A1	ALDH18A1-related De Barsy syndrome
ALDH18A1	Autosomal dominant cutis laxa
ALDH18A1	Autosomal dominant spastic paraplegia type 9A
ALDH18A1	Autosomal dominant spastic paraplegia type 9B
ALDH18A1	Autosomal recessive spastic paraplegia type 9B
ALDH18A1	Cutis laxa autosomal dominant 3
ALDH18A1	CUTIS LAXA AUTOSOMAL RECESSIVE TYPE IIIA
ALDH18A1	SPASTIC PARAPLEGIA 9A AUTOSOMAL DOMINANT
ALDH18A1	SPASTIC PARAPLEGIA 9B AUTOSOMAL RECESSIVE
ALDH18A1	Cutis laxa autosomal dominant 3
ALDH18A1	CUTIS LAXA AUTOSOMAL RECESSIVE TYPE IIIA
ALDH18A1	INTELLECTUAL DEVELOPMENTAL DISORDER-JOINT HYPERMOBILITY-SKIN LAXITY WITH OR WITHOUT METABOLIC ABNORMALITIES
ALDH18A1	Spastic paraplegia 9 autosomal dominant
ALDH18A1	SPASTIC PARAPLEGIA 9B AUTOSOMAL RECESSIVE
ALDH1A3	Colobomatous microphthalmia
ALDH1A3	Nanophthalmos
ALDH1A3	MICROPHTHALMIA ISOLATED 8
ALDH1A3	Anophthalmia/Microphthalmia
ALG11	ALG11-CDG
ALG11	CONGENITAL DISORDER OF GLYCOSYLATION TYPE Ip
ALG11	ALG11-CDG
ALG14	Congenital myasthenic syndromes with glycosylation defect
ALG14	INTELLECTUAL DEVELOPMENTAL DISORDER WITH EPILEPSY BEHAVIORAL ABNORMALITIES AND COARSE FACIES
ALG14	Congenital myasthenic syndrome 15
ALG14	MYOPATHY EPILEPSY AND PROGRESSIVE CEREBRAL ATROPHY
ALG2	ALG2-CDG
ALG2	Congenital myasthenic syndromes with glycosylation defect
ALG2	CONGENITAL DISORDER OF GLYCOSYLATION TYPE Ii
ALG2	MYASTHENIC SYNDROME CONGENITAL 14
ALG2	ALG2-CDG
ALG3	ALG3-CDG
ALG3	CONGENITAL DISORDER OF GLYCOSYLATION TYPE Id
ALG3	ALG3-CDG
ALG3	CONGENITAL DISORDER OF GLYCOSYLATION TYPE Id
ALG6	ALG6-CDG
ALG6	CONGENITAL DISORDER OF GLYCOSYLATION TYPE Ic
ALG6	ALG6-CDG
ALG9	ALG9-CDG
ALG9	Autosomal dominant polycystic kidney disease
ALG9	CONGENITAL DISORDER OF GLYCOSYLATION TYPE Il
ALG9	GILLESSEN-KAESBACH-NISHIMURA SYNDROME
ALG9	ALG9-CDG
ALMS1	Alstrom syndrome
ALMS1	Alstrom syndrome
ALMS1	Alstrom syndrome
ALPL	Adult hypophosphatasia
ALPL	Childhood-onset hypophosphatasia
ALPL	Infantile hypophosphatasia
ALPL	ODONTOHYPOPHOSPHATASIA
ALPL	Perinatal lethal hypophosphatasia
ALPL	Prenatal benign hypophosphatasia
ALPL	HYPOPHOSPHATASIA ADULT
ALPL	HYPOPHOSPHATASIA CHILDHOOD
ALPL	HYPOPHOSPHATASIA INFANTILE
ALPL	Hypophosphatasia
ALX1	Frontonasal dysplasia-severe microphthalmia-severe facial clefting syndrome
ALX1	FRONTONASAL DYSPLASIA 3
ALX1	FRONTONASAL DYSPLASIA TYPE 3
ALX3	Frontorhiny
ALX3	FRONTONASAL DYSPLASIA 1
ALX3	FRONTONASAL DYSPLASIA TYPE 1
ALX4	Enlarged parietal foramina
ALX4	Frontonasal dysplasia-alopecia-genital anomalies syndrome
ALX4	Non-syndromic sagittal craniosynostosis
ALX4	Potocki-Shaffer syndrome
ALX4	Craniosynostosis 5 susceptibility to
ALX4	Frontonasal dysplasia 2
ALX4	PARIETAL FORAMINA 2
ALX4	Frontonasal dysplasia 2
ALX4	PARIETAL FORAMINA 2
AMBN	Hypoplastic amelogenesis imperfecta
AMBN	AMELOGENESIS IMPERFECTA TYPE IF
AMFR	
AMPD2	Autosomal recessive spastic paraplegia type 63
AMPD2	Pontocerebellar hypoplasia type 9
AMPD2	PONTOCEREBELLAR HYPOPLASIA TYPE 9
AMPD2	Spastic paraplegia 63 autosomal recessive
AMPD2	Pontocerebellar hypoplasia
ANK1	8p11.2 deletion syndrome
ANK1	Hereditary spherocytosis
ANK1	SPHEROCYTOSIS TYPE 1
ANK1	B-cell acute lymphoblastic leukemia
ANK1	Brain Stem Glioblastoma
ANK1	Breast Carcinoma by Gene Expression Profile
ANK1	Burkitts lymphoma
ANK1	Endometrial Endometrioid Adenocarcinoma
ANK1	Gallbladder Small Cell Neuroendocrine Carcinoma
ANK1	Gastric Adenoma
ANK1	Hepatobiliary Neoplasm
ANK1	Invasive Breast Carcinoma
ANK1	MANTLE CELL LYMPHOMA
ANK1	Merkel cell skin cancer
ANK1	ND
ANK1	Ovarian Endometrioid Adenocarcinoma with Squamous Differentiation
ANK1	Pancreatic Acinar Cell Carcinoma
ANK1	Pleural Epithelioid Mesothelioma
ANK1	Secretory Meningioma
ANK1	T-cell acute lymphoblastic leukemia
ANK1	Uterine Carcinosarcoma
ANK1	Acute myeloid leukemia
ANK1	adenosquamous lung carcinoma
ANK1	Anaplastic astrocytoma
ANK1	Astrocytoma
ANK1	bile duct carcinoma
ANK1	bladder transitional cell carcinoma
